USER_ID,FIRST_NAME,LAST_NAME,EMAIL,SIGNUP_DATE,PREFERRED_LANGUAGE,DOB,MARKETING_OPT_IN,ACCOUNT_STATUS,LOYALTY_POINTS_BALANCE
user_id,first_name,last_name,email,signup_date,preferred_language,date_of_birth,marketing_opt_in,account_status,loyalty_points_balance
dcf8f76f-d15e-432b-bc8b-f60fc19ffc51,Kyle,Griffith,griffith.kyle@webmail.net,2024-01-19,French,1939-03-25,False,active,9192.0
453ff8ed-6223-49c5-bc91-7751114547f5,Amy,Cobb,amy14@cobb.com,2020-12-08,Spanish,2000-02-22,False,active,3794.0
16112010-3104-4061-a25d-a04094fafe2e,Monique,Rogers,rog951@mailservice.com,2020-04-10,Spanish,1989-05-15,True,inactive,8636.0
e5ee6f3f-0af6-4cba-9bac-e323d38f1bb3,Bryce,Cantu,b_cantu@domain.org,,English,,False,active,9935.0
913c0b1d-2513-45b5-9703-7b1bb72113ce,Katrina,King,katrina33@king.com,2024-02-23,German,1974-07-10,False,suspended,6464.0
afe4f6ad-283e-4a27-9e4d-3cbc44f23153,Justin,,,2020-03-09,,1961-10-27,False,active,9940.0
81a9db95-f994-4712-8f6b-30c075e4b354,Isaiah,Berg,i_berg@domain.org,2024-04-25,Spanish,1957-11-14,False,active,1132.0
61db31e0-6bc6-418c-8b72-1d3c46a87ee3,Darren,Grimes,d_grimes@domain.org,2023-02-28,Spanish,1953-03-05,False,suspended,304.0
49eb7105-a9f1-4d21-86b8-595424abb11d,Alexandria,Rodgers,alexandria49@rodgers.com,2020-01-26,Spanish,1953-11-14,True,inactive,5675.0
0c47e13d-43f8-47f3-968b-dd54568895b2,Richard,Mason,richard14@mason.com,2023-07-28,Chinese,1956-09-06,False,active,5372.0
ed372214-bdb3-46cf-999e-9a62ce73bdb5,Haley,Coleman,hc9608@emailprovider.com,2022-06-30,Spanish,2002-11-03,False,inactive,7605.0
1d023753-8657-49f7-9e32-a8bc30068074,Michael,Krause,krause.michael@webmail.net,2020-11-26,English,1964-10-21,False,suspended,5535.0
0ee4b763-7c52-44ad-807f-d99623072d6f,Heather,Gonzalez,h_gonzalez@domain.org,2019-10-27,Spanish,1983-03-28,False,,9290.0
b228bd96-ebc2-4cdc-ab03-e57df66983e5,Paula,Silva,silva.paula@webmail.net,2019-12-05,Spanish,1975-02-20,False,active,8839.0
d3541616-7169-45e5-a320-3812366024e1,Jamie,Thompson,tho175@mailservice.com,2020-02-20,English,1962-10-04,False,active,9436.0
c5600fee-637c-453b-8c2d-d5da0c244a36,Rachel,Lopez,r_lopez@domain.org,2022-04-10,Chinese,1995-12-01,False,inactive,7333.0
e6409c29-ccfe-4bb2-b846-dde32c75e697,Daniel,Roberts,daniel79@roberts.com,2022-01-27,Spanish,1956-05-18,False,active,493.0
180eaade-a336-4777-a74c-96776837d9b9,,Khan,,2023-11-28,English,,False,inactive,2164.0
105cac15-f312-4b82-bf18-22b252b02838,Justin,Wilson,jw2381@emailprovider.com,2022-09-30,Chinese,1978-11-30,True,inactive,3372.0
c90f1407-a375-43b9-8eb6-d1bcfc382547,Christina,Vargas,vargas.christina@webmail.net,2023-08-01,Spanish,1939-08-10,False,inactive,4291.0
2b143a84-629b-42b3-9d5c-26ed33800498,Sheryl,,,2024-08-04,English,2002-07-07,True,active,8780.0
9b684ef6-3782-41ba-b75e-e43f48443cf4,Benjamin,Ramsey,br6544@emailprovider.com,2022-07-29,Chinese,1968-08-07,,active,1821.0
2ee8fbbc-4565-4b39-9bfe-0d8ddd75269b,Melissa,Clarke,melissa35@clarke.com,2023-08-10,English,1977-11-24,False,inactive,7614.0
6f5e7334-8a25-49be-bfb3-8d46df482ad5,Aaron,Miller,am9898@emailprovider.com,2022-11-05,German,1950-04-27,True,inactive,5964.0
bfe25da5-b9e3-4546-a075-5eae5cdff9aa,Gabriel,,,2022-05-10,English,1966-09-24,True,suspended,9511.0
16fde0f3-1427-4789-8f7a-2804039aab39,Jeffrey,Oconnell,oco135@mailservice.com,2023-12-25,,2004-04-20,False,inactive,4946.0
e11a8c10-ba12-49ee-8c4f-4b7a0d0833ed,Luis,Mendoza,mendoza.luis@webmail.net,2023-03-01,English,1989-07-24,False,suspended,4302.0
120e215c-9c69-46b0-a3c4-a4f4151b51bb,Lauren,Gonzales,gonzales.lauren@webmail.net,2021-01-11,,1969-07-02,True,active,7673.0
c949a591-2b6a-4a23-8a41-82828fea754e,Dennis,Cox,dennis54@cox.com,2020-09-18,German,1980-06-01,True,inactive,1085.0
660ac887-18d9-4890-a374-7335688bbe0c,Alyssa,Porter,por563@mailservice.com,2022-11-07,Spanish,1990-07-16,True,suspended,3209.0
aea43765-4dca-4761-8267-e5ff9910c91f,Jacob,Rios,jacob86@rios.com,2021-05-23,English,1937-02-15,True,suspended,1104.0
96d18c98-7513-43e4-98b8-4932150c4271,Lisa,Johns,joh681@mailservice.com,2020-08-17,French,1995-07-17,True,active,1888.0
dd791d9f-0f61-47de-90f0-192922cd3652,Jaclyn,,,2019-10-12,French,1956-07-27,True,active,
4dc9a635-d11f-42b5-8a52-c2d8f9ef7c95,Robin,Williamson,r_williamson@domain.org,2021-02-14,French,1964-05-05,False,active,1541.0
06b5284a-45fc-403a-bcd4-24ac3ca1bfb9,Elizabeth,Alexander,e_alexander@domain.org,2024-01-18,Spanish,1987-01-06,False,active,7979.0
ffbd09eb-bfe5-4440-8193-bdecd5cd5b6c,Barbara,Jones,bj1083@emailprovider.com,2021-04-02,Spanish,1992-11-26,False,,8068.0
